date,health_board,presentations
2019-10-02,NHS Ayrshire and Arran,64
2019-10-02,NHS Borders,27
2019-10-02,NHS Dumfries and Galloway,45
2019-10-02,NHS Fife,62
2019-10-02,NHS Forth Valley,43
2019-10-02,NHS Grampian,83
2019-10-02,NHS Greater Glasgow and Clyde,183
2019-10-02,NHS Highland,63
2019-10-02,NHS Lanarkshire,99
2019-10-02,NHS Lothian,128
2019-10-02,NHS Orkney,4
2019-10-02,NHS Shetland,6
2019-10-02,NHS Tayside,69
2019-10-02,NHS Western Isles,11
2019-10-03,NHS Ayrshire and Arran,78
2019-10-03,NHS Borders,25
2019-10-03,NHS Dumfries and Galloway,37
2019-10-03,NHS Fife,78
2019-10-03,NHS Forth Valley,51
2019-10-03,NHS Grampian,74
2019-10-03,NHS Greater Glasgow and Clyde,180
2019-10-03,NHS Highland,59
2019-10-03,NHS Lanarkshire,85
2019-10-03,NHS Lothian,134
2019-10-03,NHS Orkney,6
2019-10-03,NHS Shetland,12
2019-10-03,NHS Tayside,86
2019-10-03,NHS Western Isles,15
2019-10-04,NHS Ayrshire and Arran,58
2019-10-04,NHS Borders,35
2019-10-04,NHS Dumfries and Galloway,48
2019-10-04,NHS Fife,71
2019-10-04,NHS Forth Valley,50
2019-10-04,NHS Grampian,104
2019-10-04,NHS Greater Glasgow and Clyde,205
2019-10-04,NHS Highland,72
2019-10-04,NHS Lanarkshire,114
2019-10-04,NHS Lothian,148
2019-10-04,NHS Orkney,8
2019-10-04,NHS Shetland,10
2019-10-04,NHS Tayside,90
2019-10-04,NHS Western Isles,13
2019-10-05,NHS Ayrshire and Arran,66
2019-10-05,NHS Borders,23
2019-10-05,NHS Dumfries and Galloway,40
2019-10-05,NHS Fife,69
2019-10-05,NHS Forth Valley,57
2019-10-05,NHS Grampian,75
2019-10-05,NHS Greater Glasgow and Clyde,146
2019-10-05,NHS Highland,53
2019-10-05,NHS Lanarkshire,89
2019-10-05,NHS Lothian,154
2019-10-05,NHS Orkney,11
2019-10-05,NHS Shetland,9
2019-10-05,NHS Tayside,69
2019-10-05,NHS Western Isles,11
2019-10-06,NHS Ayrshire and Arran,58
2019-10-06,NHS Borders,16
2019-10-06,NHS Dumfries and Galloway,27
2019-10-06,NHS Fife,50
2019-10-06,NHS Forth Valley,52
2019-10-06,NHS Grampian,72
2019-10-06,NHS Greater Glasgow and Clyde,144
2019-10-06,NHS Highland,61
2019-10-06,NHS Lanarkshire,95
2019-10-06,NHS Lothian,99
2019-10-06,NHS Orkney,10
2019-10-06,NHS Shetland,7
2019-10-06,NHS Tayside,77
2019-10-06,NHS Western Isles,13
2019-10-07,NHS Ayrshire and Arran,84
2019-10-07,NHS Borders,32
2019-10-07,NHS Dumfries and Galloway,51
2019-10-07,NHS Fife,102
2019-10-07,NHS Forth Valley,63
2019-10-07,NHS Grampian,120
2019-10-07,NHS Greater Glasgow and Clyde,199
2019-10-07,NHS Highland,78
2019-10-07,NHS Lanarkshire,129
2019-10-07,NHS Lothian,158
2019-10-07,NHS Orkney,13
2019-10-07,NHS Shetland,16
2019-10-07,NHS Tayside,112
2019-10-07,NHS Western Isles,21
2019-10-08,NHS Ayrshire and Arran,65
2019-10-08,NHS Borders,27
2019-10-08,NHS Dumfries and Galloway,41
2019-10-08,NHS Fife,75
2019-10-08,NHS Forth Valley,55
2019-10-08,NHS Grampian,93
2019-10-08,NHS Greater Glasgow and Clyde,176
2019-10-08,NHS Highland,63
2019-10-08,NHS Lanarkshire,128
2019-10-08,NHS Lothian,137
2019-10-08,NHS Orkney,2
2019-10-08,NHS Shetland,7
2019-10-08,NHS Tayside,78
2019-10-08,NHS Western Isles,9
2019-10-09,NHS Ayrshire and Arran,60
2019-10-09,NHS Borders,15
2019-10-09,NHS Dumfries and Galloway,54
2019-10-09,NHS Fife,61
2019-10-09,NHS Forth Valley,60
2019-10-09,NHS Grampian,80
2019-10-09,NHS Greater Glasgow and Clyde,153
2019-10-09,NHS Highland,72
2019-10-09,NHS Lanarkshire,89
2019-10-09,NHS Lothian,150
2019-10-09,NHS Orkney,9
2019-10-09,NHS Shetland,8
2019-10-09,NHS Tayside,94
2019-10-09,NHS Western Isles,12
2019-10-10,NHS Ayrshire and Arran,81
2019-10-10,NHS Borders,30
2019-10-10,NHS Dumfries and Galloway,39
2019-10-10,NHS Fife,56
2019-10-10,NHS Forth Valley,52
2019-10-10,NHS Grampian,83
2019-10-10,NHS Greater Glasgow and Clyde,162
2019-10-10,NHS Highland,65
2019-10-10,NHS Lanarkshire,105
2019-10-10,NHS Lothian,123
2019-10-10,NHS Orkney,11
2019-10-10,NHS Shetland,8
2019-10-10,NHS Tayside,91
2019-10-10,NHS Western Isles,7
2019-10-11,NHS Ayrshire and Arran,77
2019-10-11,NHS Borders,36
2019-10-11,NHS Dumfries and Galloway,46
2019-10-11,NHS Fife,68
2019-10-11,NHS Forth Valley,62
2019-10-11,NHS Grampian,85
2019-10-11,NHS Greater Glasgow and Clyde,166
2019-10-11,NHS Highland,65
2019-10-11,NHS Lanarkshire,84
2019-10-11,NHS Lothian,136
2019-10-11,NHS Orkney,11
2019-10-11,NHS Shetland,8
2019-10-11,NHS Tayside,81
2019-10-11,NHS Western Isles,10
2019-10-12,NHS Ayrshire and Arran,53
2019-10-12,NHS Borders,33
2019-10-12,NHS Dumfries and Galloway,32
2019-10-12,NHS Fife,60
2019-10-12,NHS Forth Valley,47
2019-10-12,NHS Grampian,75
2019-10-12,NHS Greater Glasgow and Clyde,151
2019-10-12,NHS Highland,49
2019-10-12,NHS Lanarkshire,103
2019-10-12,NHS Lothian,105
2019-10-12,NHS Orkney,9
2019-10-12,NHS Shetland,9
2019-10-12,NHS Tayside,73
2019-10-12,NHS Western Isles,10
2019-10-13,NHS Ayrshire and Arran,63
2019-10-13,NHS Borders,29
2019-10-13,NHS Dumfries and Galloway,38
2019-10-13,NHS Fife,40
2019-10-13,NHS Forth Valley,45
2019-10-13,NHS Grampian,74
2019-10-13,NHS Greater Glasgow and Clyde,145
2019-10-13,NHS Highland,45
2019-10-13,NHS Lanarkshire,79
2019-10-13,NHS Lothian,113
2019-10-13,NHS Orkney,10
2019-10-13,NHS Shetland,11
2019-10-13,NHS Tayside,68
2019-10-13,NHS Western Isles,18
2019-10-14,NHS Ayrshire and Arran,85
2019-10-14,NHS Borders,39
2019-10-14,NHS Dumfries and Galloway,51
2019-10-14,NHS Fife,76
2019-10-14,NHS Forth Valley,92
2019-10-14,NHS Grampian,101
2019-10-14,NHS Greater Glasgow and Clyde,207
2019-10-14,NHS Highland,74
2019-10-14,NHS Lanarkshire,122
2019-10-14,NHS Lothian,154
2019-10-14,NHS Orkney,7
2019-10-14,NHS Shetland,18
2019-10-14,NHS Tayside,111
2019-10-14,NHS Western Isles,13
2019-10-15,NHS Ayrshire and Arran,70
2019-10-15,NHS Borders,26
2019-10-15,NHS Dumfries and Galloway,40
2019-10-15,NHS Fife,71
2019-10-15,NHS Forth Valley,61
2019-10-15,NHS Grampian,94
2019-10-15,NHS Greater Glasgow and Clyde,183
2019-10-15,NHS Highland,58
2019-10-15,NHS Lanarkshire,107
2019-10-15,NHS Lothian,128
2019-10-15,NHS Orkney,9
2019-10-15,NHS Shetland,13
2019-10-15,NHS Tayside,86
2019-10-15,NHS Western Isles,11
2019-10-16,NHS Ayrshire and Arran,55
2019-10-16,NHS Borders,25
2019-10-16,NHS Dumfries and Galloway,57
2019-10-16,NHS Fife,83
2019-10-16,NHS Forth Valley,53
2019-10-16,NHS Grampian,78
2019-10-16,NHS Greater Glasgow and Clyde,147
2019-10-16,NHS Highland,63
2019-10-16,NHS Lanarkshire,84
2019-10-16,NHS Lothian,117
2019-10-16,NHS Orkney,17
2019-10-16,NHS Shetland,8
2019-10-16,NHS Tayside,76
2019-10-16,NHS Western Isles,9
2019-10-17,NHS Ayrshire and Arran,66
2019-10-17,NHS Borders,24
2019-10-17,NHS Dumfries and Galloway,38
2019-10-17,NHS Fife,47
2019-10-17,NHS Forth Valley,57
2019-10-17,NHS Grampian,97
2019-10-17,NHS Greater Glasgow and Clyde,159
2019-10-17,NHS Highland,52
2019-10-17,NHS Lanarkshire,95
2019-10-17,NHS Lothian,150
2019-10-17,NHS Orkney,10
2019-10-17,NHS Shetland,8
2019-10-17,NHS Tayside,84
2019-10-17,NHS Western Isles,8
2019-10-18,NHS Ayrshire and Arran,68
2019-10-18,NHS Borders,25
2019-10-18,NHS Dumfries and Galloway,50
2019-10-18,NHS Fife,72
2019-10-18,NHS Forth Valley,61
2019-10-18,NHS Grampian,76
2019-10-18,NHS Greater Glasgow and Clyde,168
2019-10-18,NHS Highland,50
2019-10-18,NHS Lanarkshire,122
2019-10-18,NHS Lothian,166
2019-10-18,NHS Orkney,13
2019-10-18,NHS Shetland,10
2019-10-18,NHS Tayside,76
2019-10-18,NHS Western Isles,15
2019-10-19,NHS Ayrshire and Arran,57
2019-10-19,NHS Borders,26
2019-10-19,NHS Dumfries and Galloway,33
2019-10-19,NHS Fife,75
2019-10-19,NHS Forth Valley,48
2019-10-19,NHS Grampian,73
2019-10-19,NHS Greater Glasgow and Clyde,150
2019-10-19,NHS Highland,59
2019-10-19,NHS Lanarkshire,91
2019-10-19,NHS Lothian,119
2019-10-19,NHS Orkney,14
2019-10-19,NHS Shetland,13
2019-10-19,NHS Tayside,83
2019-10-19,NHS Western Isles,5
2019-10-20,NHS Ayrshire and Arran,46
2019-10-20,NHS Borders,15
2019-10-20,NHS Dumfries and Galloway,34
2019-10-20,NHS Fife,62
2019-10-20,NHS Forth Valley,51
2019-10-20,NHS Grampian,64
2019-10-20,NHS Greater Glasgow and Clyde,136
2019-10-20,NHS Highland,39
2019-10-20,NHS Lanarkshire,89
2019-10-20,NHS Lothian,112
2019-10-20,NHS Orkney,5
2019-10-20,NHS Shetland,9
2019-10-20,NHS Tayside,79
2019-10-20,NHS Western Isles,11
2019-10-21,NHS Ayrshire and Arran,97
2019-10-21,NHS Borders,43
2019-10-21,NHS Dumfries and Galloway,54
2019-10-21,NHS Fife,87
2019-10-21,NHS Forth Valley,68
2019-10-21,NHS Grampian,122
2019-10-21,NHS Greater Glasgow and Clyde,220
2019-10-21,NHS Highland,73
2019-10-21,NHS Lanarkshire,130
2019-10-21,NHS Lothian,190
2019-10-21,NHS Orkney,15
2019-10-21,NHS Shetland,11
2019-10-21,NHS Tayside,114
2019-10-21,NHS Western Isles,24
2019-10-22,NHS Ayrshire and Arran,72
2019-10-22,NHS Borders,20
2019-10-22,NHS Dumfries and Galloway,42
2019-10-22,NHS Fife,77
2019-10-22,NHS Forth Valley,58
2019-10-22,NHS Grampian,82
2019-10-22,NHS Greater Glasgow and Clyde,180
2019-10-22,NHS Highland,57
2019-10-22,NHS Lanarkshire,113
2019-10-22,NHS Lothian,155
2019-10-22,NHS Orkney,12
2019-10-22,NHS Shetland,11
2019-10-22,NHS Tayside,93
2019-10-22,NHS Western Isles,12
2019-10-23,NHS Ayrshire and Arran,76
2019-10-23,NHS Borders,26
2019-10-23,NHS Dumfries and Galloway,42
2019-10-23,NHS Fife,72
2019-10-23,NHS Forth Valley,45
2019-10-23,NHS Grampian,66
2019-10-23,NHS Greater Glasgow and Clyde,154
2019-10-23,NHS Highland,57
2019-10-23,NHS Lanarkshire,114
2019-10-23,NHS Lothian,124
2019-10-23,NHS Orkney,7
2019-10-23,NHS Shetland,7
2019-10-23,NHS Tayside,78
2019-10-23,NHS Western Isles,11
2019-10-24,NHS Ayrshire and Arran,70
2019-10-24,NHS Borders,33
2019-10-24,NHS Dumfries and Galloway,33
2019-10-24,NHS Fife,66
2019-10-24,NHS Forth Valley,67
2019-10-24,NHS Grampian,98
2019-10-24,NHS Greater Glasgow and Clyde,156
2019-10-24,NHS Highland,50
2019-10-24,NHS Lanarkshire,81
2019-10-24,NHS Lothian,118
2019-10-24,NHS Orkney,12
2019-10-24,NHS Shetland,7
2019-10-24,NHS Tayside,70
2019-10-24,NHS Western Isles,10
2019-10-25,NHS Ayrshire and Arran,71
2019-10-25,NHS Borders,31
2019-10-25,NHS Dumfries and Galloway,58
2019-10-25,NHS Fife,75
2019-10-25,NHS Forth Valley,58
2019-10-25,NHS Grampian,94
2019-10-25,NHS Greater Glasgow and Clyde,192
2019-10-25,NHS Highland,66
2019-10-25,NHS Lanarkshire,100
2019-10-25,NHS Lothian,152
2019-10-25,NHS Orkney,5
2019-10-25,NHS Shetland,7
2019-10-25,NHS Tayside,79
2019-10-25,NHS Western Isles,15
2019-10-26,NHS Ayrshire and Arran,59
2019-10-26,NHS Borders,33
2019-10-26,NHS Dumfries and Galloway,33
2019-10-26,NHS Fife,63
2019-10-26,NHS Forth Valley,53
2019-10-26,NHS Grampian,83
2019-10-26,NHS Greater Glasgow and Clyde,175
2019-10-26,NHS Highland,37
2019-10-26,NHS Lanarkshire,102
2019-10-26,NHS Lothian,120
2019-10-26,NHS Orkney,5
2019-10-26,NHS Shetland,12
2019-10-26,NHS Tayside,72
2019-10-26,NHS Western Isles,16
2019-10-27,NHS Ayrshire and Arran,57
2019-10-27,NHS Borders,21
2019-10-27,NHS Dumfries and Galloway,33
2019-10-27,NHS Fife,60
2019-10-27,NHS Forth Valley,46
2019-10-27,NHS Grampian,67
2019-10-27,NHS Greater Glasgow and Clyde,133
2019-10-27,NHS Highland,43
2019-10-27,NHS Lanarkshire,63
2019-10-27,NHS Lothian,97
2019-10-27,NHS Orkney,10
2019-10-27,NHS Shetland,9
2019-10-27,NHS Tayside,61
2019-10-27,NHS Western Isles,9
2019-10-28,NHS Ayrshire and Arran,102
2019-10-28,NHS Borders,28
2019-10-28,NHS Dumfries and Galloway,50
2019-10-28,NHS Fife,76
2019-10-28,NHS Forth Valley,71
2019-10-28,NHS Grampian,119
2019-10-28,NHS Greater Glasgow and Clyde,188
2019-10-28,NHS Highland,65
2019-10-28,NHS Lanarkshire,141
2019-10-28,NHS Lothian,165
2019-10-28,NHS Orkney,8
2019-10-28,NHS Shetland,4
2019-10-28,NHS Tayside,112
2019-10-28,NHS Western Isles,7
2019-10-29,NHS Ayrshire and Arran,84
2019-10-29,NHS Borders,23
2019-10-29,NHS Dumfries and Galloway,37
2019-10-29,NHS Fife,71
2019-10-29,NHS Forth Valley,57
2019-10-29,NHS Grampian,86
2019-10-29,NHS Greater Glasgow and Clyde,184
2019-10-29,NHS Highland,59
2019-10-29,NHS Lanarkshire,112
2019-10-29,NHS Lothian,151
2019-10-29,NHS Orkney,6
2019-10-29,NHS Shetland,12
2019-10-29,NHS Tayside,100
2019-10-29,NHS Western Isles,16
2019-10-30,NHS Ayrshire and Arran,76
2019-10-30,NHS Borders,29
2019-10-30,NHS Dumfries and Galloway,49
2019-10-30,NHS Fife,62
2019-10-30,NHS Forth Valley,50
2019-10-30,NHS Grampian,83
2019-10-30,NHS Greater Glasgow and Clyde,177
2019-10-30,NHS Highland,58
2019-10-30,NHS Lanarkshire,86
2019-10-30,NHS Lothian,139
2019-10-30,NHS Orkney,7
2019-10-30,NHS Shetland,8
2019-10-30,NHS Tayside,86
2019-10-30,NHS Western Isles,12
2019-10-31,NHS Ayrshire and Arran,69
2019-10-31,NHS Borders,24
2019-10-31,NHS Dumfries and Galloway,35
2019-10-31,NHS Fife,65
2019-10-31,NHS Forth Valley,44
2019-10-31,NHS Grampian,79
2019-10-31,NHS Greater Glasgow and Clyde,164
2019-10-31,NHS Highland,63
2019-10-31,NHS Lanarkshire,89
2019-10-31,NHS Lothian,131
2019-10-31,NHS Orkney,8
2019-10-31,NHS Shetland,7
2019-10-31,NHS Tayside,76
2019-10-31,NHS Western Isles,21
2019-11-01,NHS Ayrshire and Arran,76
2019-11-01,NHS Borders,26
2019-11-01,NHS Dumfries and Galloway,28
2019-11-01,NHS Fife,73
2019-11-01,NHS Forth Valley,54
2019-11-01,NHS Grampian,106
2019-11-01,NHS Greater Glasgow and Clyde,181
2019-11-01,NHS Highland,57
2019-11-01,NHS Lanarkshire,104
2019-11-01,NHS Lothian,164
2019-11-01,NHS Orkney,12
2019-11-01,NHS Shetland,11
2019-11-01,NHS Tayside,77
2019-11-01,NHS Western Isles,15
2019-11-02,NHS Ayrshire and Arran,47
2019-11-02,NHS Borders,23
2019-11-02,NHS Dumfries and Galloway,32
2019-11-02,NHS Fife,41
2019-11-02,NHS Forth Valley,49
2019-11-02,NHS Grampian,62
2019-11-02,NHS Greater Glasgow and Clyde,155
2019-11-02,NHS Highland,43
2019-11-02,NHS Lanarkshire,83
2019-11-02,NHS Lothian,103
2019-11-02,NHS Orkney,6
2019-11-02,NHS Shetland,7
2019-11-02,NHS Tayside,60
2019-11-02,NHS Western Isles,14
2019-11-03,NHS Ayrshire and Arran,52
2019-11-03,NHS Borders,14
2019-11-03,NHS Dumfries and Galloway,40
2019-11-03,NHS Fife,47
2019-11-03,NHS Forth Valley,38
2019-11-03,NHS Grampian,69
2019-11-03,NHS Greater Glasgow and Clyde,127
2019-11-03,NHS Highland,56
2019-11-03,NHS Lanarkshire,68
2019-11-03,NHS Lothian,96
2019-11-03,NHS Orkney,6
2019-11-03,NHS Shetland,4
2019-11-03,NHS Tayside,61
2019-11-03,NHS Western Isles,12
2019-11-04,NHS Ayrshire and Arran,73
2019-11-04,NHS Borders,29
2019-11-04,NHS Dumfries and Galloway,60
2019-11-04,NHS Fife,82
2019-11-04,NHS Forth Valley,58
2019-11-04,NHS Grampian,118
2019-11-04,NHS Greater Glasgow and Clyde,229
2019-11-04,NHS Highland,70
2019-11-04,NHS Lanarkshire,138
2019-11-04,NHS Lothian,164
2019-11-04,NHS Orkney,11
2019-11-04,NHS Shetland,13
2019-11-04,NHS Tayside,109
2019-11-04,NHS Western Isles,10
2019-11-05,NHS Ayrshire and Arran,69
2019-11-05,NHS Borders,23
2019-11-05,NHS Dumfries and Galloway,37
2019-11-05,NHS Fife,67
2019-11-05,NHS Forth Valley,66
2019-11-05,NHS Grampian,92
2019-11-05,NHS Greater Glasgow and Clyde,172
2019-11-05,NHS Highland,65
2019-11-05,NHS Lanarkshire,114
2019-11-05,NHS Lothian,144
2019-11-05,NHS Orkney,8
2019-11-05,NHS Shetland,10
2019-11-05,NHS Tayside,75
2019-11-05,NHS Western Isles,7
2019-11-06,NHS Ayrshire and Arran,71
2019-11-06,NHS Borders,22
2019-11-06,NHS Dumfries and Galloway,43
2019-11-06,NHS Fife,63
2019-11-06,NHS Forth Valley,41
2019-11-06,NHS Grampian,85
2019-11-06,NHS Greater Glasgow and Clyde,189
2019-11-06,NHS Highland,51
2019-11-06,NHS Lanarkshire,91
2019-11-06,NHS Lothian,137
2019-11-06,NHS Orkney,5
2019-11-06,NHS Shetland,6
2019-11-06,NHS Tayside,65
2019-11-06,NHS Western Isles,10
2019-11-07,NHS Ayrshire and Arran,60
2019-11-07,NHS Borders,26
2019-11-07,NHS Dumfries and Galloway,40
2019-11-07,NHS Fife,72
2019-11-07,NHS Forth Valley,48
2019-11-07,NHS Grampian,104
2019-11-07,NHS Greater Glasgow and Clyde,166
2019-11-07,NHS Highland,55
2019-11-07,NHS Lanarkshire,67
2019-11-07,NHS Lothian,117
2019-11-07,NHS Orkney,9
2019-11-07,NHS Shetland,14
2019-11-07,NHS Tayside,58
2019-11-07,NHS Western Isles,17
2019-11-08,NHS Ayrshire and Arran,69
2019-11-08,NHS Borders,32
2019-11-08,NHS Dumfries and Galloway,40
2019-11-08,NHS Fife,73
2019-11-08,NHS Forth Valley,71
2019-11-08,NHS Grampian,81
2019-11-08,NHS Greater Glasgow and Clyde,179
2019-11-08,NHS Highland,67
2019-11-08,NHS Lanarkshire,94
2019-11-08,NHS Lothian,134
2019-11-08,NHS Orkney,9
2019-11-08,NHS Shetland,10
2019-11-08,NHS Tayside,93
2019-11-08,NHS Western Isles,16
2019-11-09,NHS Ayrshire and Arran,55
2019-11-09,NHS Borders,22
2019-11-09,NHS Dumfries and Galloway,34
2019-11-09,NHS Fife,75
2019-11-09,NHS Forth Valley,53
2019-11-09,NHS Grampian,92
2019-11-09,NHS Greater Glasgow and Clyde,150
2019-11-09,NHS Highland,42
2019-11-09,NHS Lanarkshire,84
2019-11-09,NHS Lothian,117
2019-11-09,NHS Orkney,5
2019-11-09,NHS Shetland,6
2019-11-09,NHS Tayside,60
2019-11-09,NHS Western Isles,20
2019-11-10,NHS Ayrshire and Arran,49
2019-11-10,NHS Borders,25
2019-11-10,NHS Dumfries and Galloway,27
2019-11-10,NHS Fife,43
2019-11-10,NHS Forth Valley,50
2019-11-10,NHS Grampian,72
2019-11-10,NHS Greater Glasgow and Clyde,141
2019-11-10,NHS Highland,53
2019-11-10,NHS Lanarkshire,76
2019-11-10,NHS Lothian,109
2019-11-10,NHS Orkney,9
2019-11-10,NHS Shetland,9
2019-11-10,NHS Tayside,60
2019-11-10,NHS Western Isles,10
2019-11-11,NHS Ayrshire and Arran,74
2019-11-11,NHS Borders,26
2019-11-11,NHS Dumfries and Galloway,41
2019-11-11,NHS Fife,67
2019-11-11,NHS Forth Valley,65
2019-11-11,NHS Grampian,108
2019-11-11,NHS Greater Glasgow and Clyde,214
2019-11-11,NHS Highland,88
2019-11-11,NHS Lanarkshire,133
2019-11-11,NHS Lothian,171
2019-11-11,NHS Orkney,7
2019-11-11,NHS Shetland,17
2019-11-11,NHS Tayside,92
2019-11-11,NHS Western Isles,18
2019-11-12,NHS Ayrshire and Arran,72
2019-11-12,NHS Borders,21
2019-11-12,NHS Dumfries and Galloway,44
2019-11-12,NHS Fife,68
2019-11-12,NHS Forth Valley,43
2019-11-12,NHS Grampian,108
2019-11-12,NHS Greater Glasgow and Clyde,182
2019-11-12,NHS Highland,62
2019-11-12,NHS Lanarkshire,100
2019-11-12,NHS Lothian,136
2019-11-12,NHS Orkney,12
2019-11-12,NHS Shetland,9
2019-11-12,NHS Tayside,72
2019-11-12,NHS Western Isles,14
2019-11-13,NHS Ayrshire and Arran,65
2019-11-13,NHS Borders,23
2019-11-13,NHS Dumfries and Galloway,34
2019-11-13,NHS Fife,50
2019-11-13,NHS Forth Valley,39
2019-11-13,NHS Grampian,72
2019-11-13,NHS Greater Glasgow and Clyde,149
2019-11-13,NHS Highland,53
2019-11-13,NHS Lanarkshire,106
2019-11-13,NHS Lothian,120
2019-11-13,NHS Orkney,11
2019-11-13,NHS Shetland,8
2019-11-13,NHS Tayside,72
2019-11-13,NHS Western Isles,8
2019-11-14,NHS Ayrshire and Arran,84
2019-11-14,NHS Borders,21
2019-11-14,NHS Dumfries and Galloway,39
2019-11-14,NHS Fife,48
2019-11-14,NHS Forth Valley,55
2019-11-14,NHS Grampian,93
2019-11-14,NHS Greater Glasgow and Clyde,143
2019-11-14,NHS Highland,53
2019-11-14,NHS Lanarkshire,99
2019-11-14,NHS Lothian,116
2019-11-14,NHS Orkney,14
2019-11-14,NHS Shetland,11
2019-11-14,NHS Tayside,79
2019-11-14,NHS Western Isles,13
2019-11-15,NHS Ayrshire and Arran,80
2019-11-15,NHS Borders,33
2019-11-15,NHS Dumfries and Galloway,37
2019-11-15,NHS Fife,67
2019-11-15,NHS Forth Valley,61
2019-11-15,NHS Grampian,87
2019-11-15,NHS Greater Glasgow and Clyde,176
2019-11-15,NHS Highland,57
2019-11-15,NHS Lanarkshire,104
2019-11-15,NHS Lothian,127
2019-11-15,NHS Orkney,6
2019-11-15,NHS Shetland,11
2019-11-15,NHS Tayside,81
2019-11-15,NHS Western Isles,15
2019-11-16,NHS Ayrshire and Arran,54
2019-11-16,NHS Borders,19
2019-11-16,NHS Dumfries and Galloway,31
2019-11-16,NHS Fife,63
2019-11-16,NHS Forth Valley,49
2019-11-16,NHS Grampian,92
2019-11-16,NHS Greater Glasgow and Clyde,140
2019-11-16,NHS Highland,40
2019-11-16,NHS Lanarkshire,101
2019-11-16,NHS Lothian,103
2019-11-16,NHS Orkney,8
2019-11-16,NHS Shetland,6
2019-11-16,NHS Tayside,82
2019-11-16,NHS Western Isles,10
2019-11-17,NHS Ayrshire and Arran,41
2019-11-17,NHS Borders,19
2019-11-17,NHS Dumfries and Galloway,39
2019-11-17,NHS Fife,55
2019-11-17,NHS Forth Valley,43
2019-11-17,NHS Grampian,91
2019-11-17,NHS Greater Glasgow and Clyde,126
2019-11-17,NHS Highland,44
2019-11-17,NHS Lanarkshire,91
2019-11-17,NHS Lothian,100
2019-11-17,NHS Orkney,8
2019-11-17,NHS Shetland,9
2019-11-17,NHS Tayside,78
2019-11-17,NHS Western Isles,9
2019-11-18,NHS Ayrshire and Arran,100
2019-11-18,NHS Borders,32
2019-11-18,NHS Dumfries and Galloway,41
2019-11-18,NHS Fife,89
2019-11-18,NHS Forth Valley,61
2019-11-18,NHS Grampian,109
2019-11-18,NHS Greater Glasgow and Clyde,208
2019-11-18,NHS Highland,64
2019-11-18,NHS Lanarkshire,136
2019-11-18,NHS Lothian,170
2019-11-18,NHS Orkney,8
2019-11-18,NHS Shetland,12
2019-11-18,NHS Tayside,100
2019-11-18,NHS Western Isles,12
2019-11-19,NHS Ayrshire and Arran,92
2019-11-19,NHS Borders,29
2019-11-19,NHS Dumfries and Galloway,37
2019-11-19,NHS Fife,67
2019-11-19,NHS Forth Valley,57
2019-11-19,NHS Grampian,78
2019-11-19,NHS Greater Glasgow and Clyde,189
2019-11-19,NHS Highland,79
2019-11-19,NHS Lanarkshire,105
2019-11-19,NHS Lothian,142
2019-11-19,NHS Orkney,6
2019-11-19,NHS Shetland,11
2019-11-19,NHS Tayside,83
2019-11-19,NHS Western Isles,17
2019-11-20,NHS Ayrshire and Arran,65
2019-11-20,NHS Borders,24
2019-11-20,NHS Dumfries and Galloway,32
2019-11-20,NHS Fife,63
2019-11-20,NHS Forth Valley,55
2019-11-20,NHS Grampian,93
2019-11-20,NHS Greater Glasgow and Clyde,149
2019-11-20,NHS Highland,62
2019-11-20,NHS Lanarkshire,88
2019-11-20,NHS Lothian,124
2019-11-20,NHS Orkney,10
2019-11-20,NHS Shetland,10
2019-11-20,NHS Tayside,83
2019-11-20,NHS Western Isles,10
2019-11-21,NHS Ayrshire and Arran,58
2019-11-21,NHS Borders,22
2019-11-21,NHS Dumfries and Galloway,37
2019-11-21,NHS Fife,68
2019-11-21,NHS Forth Valley,45
2019-11-21,NHS Grampian,87
2019-11-21,NHS Greater Glasgow and Clyde,138
2019-11-21,NHS Highland,57
2019-11-21,NHS Lanarkshire,94
2019-11-21,NHS Lothian,128
2019-11-21,NHS Orkney,8
2019-11-21,NHS Shetland,7
2019-11-21,NHS Tayside,86
2019-11-21,NHS Western Isles,6
2019-11-22,NHS Ayrshire and Arran,64
2019-11-22,NHS Borders,30
2019-11-22,NHS Dumfries and Galloway,52
2019-11-22,NHS Fife,62
2019-11-22,NHS Forth Valley,49
2019-11-22,NHS Grampian,98
2019-11-22,NHS Greater Glasgow and Clyde,182
2019-11-22,NHS Highland,67
2019-11-22,NHS Lanarkshire,102
2019-11-22,NHS Lothian,149
2019-11-22,NHS Orkney,9
2019-11-22,NHS Shetland,13
2019-11-22,NHS Tayside,96
2019-11-22,NHS Western Isles,11
2019-11-23,NHS Ayrshire and Arran,75
2019-11-23,NHS Borders,25
2019-11-23,NHS Dumfries and Galloway,27
2019-11-23,NHS Fife,51
2019-11-23,NHS Forth Valley,43
2019-11-23,NHS Grampian,71
2019-11-23,NHS Greater Glasgow and Clyde,140
2019-11-23,NHS Highland,63
2019-11-23,NHS Lanarkshire,84
2019-11-23,NHS Lothian,123
2019-11-23,NHS Orkney,7
2019-11-23,NHS Shetland,8
2019-11-23,NHS Tayside,75
2019-11-23,NHS Western Isles,11
2019-11-24,NHS Ayrshire and Arran,48
2019-11-24,NHS Borders,24
2019-11-24,NHS Dumfries and Galloway,42
2019-11-24,NHS Fife,69
2019-11-24,NHS Forth Valley,51
